mass,sigma
113.13000000,1.71719944
113.14000000,1.71572165
113.15000000,1.71424584
113.16000000,1.71277202
113.17000000,1.71130018
113.18000000,1.70983031
113.19000000,1.70836241
113.20000000,1.70689648
113.21000000,1.70543252
113.22000000,1.70397052
113.23000000,1.70251048
113.24000000,1.70105240
113.25000000,1.69959627
113.26000000,1.69814209
113.27000000,1.69668986
113.28000000,1.69523958
113.29000000,1.69379123
113.30000000,1.69234482
113.31000000,1.69090035
113.32000000,1.68945780
113.33000000,1.68801719
113.34000000,1.68657850
113.35000000,1.68514173
113.36000000,1.68370689
113.37000000,1.68227395
113.38000000,1.68084294
113.39000000,1.67941383
113.40000000,1.67798662
113.41000000,1.67656132
113.42000000,1.67513792
113.43000000,1.67371642
113.44000000,1.67229681
113.45000000,1.67087909
113.46000000,1.66946326
113.47000000,1.66804931
113.48000000,1.66663725
113.49000000,1.66522706
113.50000000,1.66381875
113.51000000,1.66241231
113.52000000,1.66100774
113.53000000,1.65960503
113.54000000,1.65820418
113.55000000,1.65680519
113.56000000,1.65540806
113.57000000,1.65401277
113.58000000,1.65261933
113.59000000,1.65122773
113.60000000,1.64983797
113.61000000,1.64845004
113.62000000,1.64706394
113.63000000,1.64567967
113.64000000,1.64429723
113.65000000,1.64291660
113.66000000,1.64153779
113.67000000,1.64016079
113.68000000,1.63878560
113.69000000,1.63741222
113.70000000,1.63604063
113.71000000,1.63467085
113.72000000,1.63330285
113.73000000,1.63193665
113.74000000,1.63057223
113.75000000,1.62920960
113.76000000,1.62784874
113.77000000,1.62648966
113.78000000,1.62513234
113.79000000,1.62377680
113.80000000,1.62242302
113.81000000,1.62107100
113.82000000,1.61972074
113.83000000,1.61837222
113.84000000,1.61702546
113.85000000,1.61568044
113.86000000,1.61433716
113.87000000,1.61299562
113.88000000,1.61165582
113.89000000,1.61031774
113.90000000,1.60898139
113.91000000,1.60764676
113.92000000,1.60631385
113.93000000,1.60498266
113.94000000,1.60365318
113.95000000,1.60232540
113.96000000,1.60099933
113.97000000,1.59967496
113.98000000,1.59835228
113.99000000,1.59703130
114.00000000,1.59571201
114.01000000,1.59439440
114.02000000,1.59307847
114.03000000,1.59176422
114.04000000,1.59045165
114.05000000,1.58914074
114.06000000,1.58783151
114.07000000,1.58652393
114.08000000,1.58521801
114.09000000,1.58391375
114.10000000,1.58261114
114.11000000,1.58131018
114.12000000,1.58001086
114.13000000,1.57871318
114.14000000,1.57741714
114.15000000,1.57612273
114.16000000,1.57482996
114.17000000,1.57353880
114.18000000,1.57224927
114.19000000,1.57096136
114.20000000,1.56967505
114.21000000,1.56839037
114.22000000,1.56710728
114.23000000,1.56582580
114.24000000,1.56454592
114.25000000,1.56326764
114.26000000,1.56199094
114.27000000,1.56071584
114.28000000,1.55944232
114.29000000,1.55817038
114.30000000,1.55690001
114.31000000,1.55563122
114.32000000,1.55436400
114.33000000,1.55309835
114.34000000,1.55183425
114.35000000,1.55057172
114.36000000,1.54931074
114.37000000,1.54805131
114.38000000,1.54679342
114.39000000,1.54553708
114.40000000,1.54428228
114.41000000,1.54302902
114.42000000,1.54177728
114.43000000,1.54052708
114.44000000,1.53927840
114.45000000,1.53803124
114.46000000,1.53678560
114.47000000,1.53554147
114.48000000,1.53429885
114.49000000,1.53305774
114.50000000,1.53181812
114.51000000,1.53058001
114.52000000,1.52934340
114.53000000,1.52810827
114.54000000,1.52687464
114.55000000,1.52564249
114.56000000,1.52441183
114.57000000,1.52318266
114.58000000,1.52195496
114.59000000,1.52072874
114.60000000,1.51950399
114.61000000,1.51828072
114.62000000,1.51705892
114.63000000,1.51583858
114.64000000,1.51461971
114.65000000,1.51340230
114.66000000,1.51218635
114.67000000,1.51097185
114.68000000,1.50975881
114.69000000,1.50854722
114.70000000,1.50733708
114.71000000,1.50612838
114.72000000,1.50492113
114.73000000,1.50371532
114.74000000,1.50251094
114.75000000,1.50130801
114.76000000,1.50010650
114.77000000,1.49890642
114.78000000,1.49770778
114.79000000,1.49651055
114.80000000,1.49531475
114.81000000,1.49412037
114.82000000,1.49292740
114.83000000,1.49173585
114.84000000,1.49054572
114.85000000,1.48935699
114.86000000,1.48816966
114.87000000,1.48698374
114.88000000,1.48579923
114.89000000,1.48461611
114.90000000,1.48343438
114.91000000,1.48225405
114.92000000,1.48107511
114.93000000,1.47989756
114.94000000,1.47872140
114.95000000,1.47754661
114.96000000,1.47637321
114.97000000,1.47520119
114.98000000,1.47403054
114.99000000,1.47286126
115.00000000,1.47169335
115.01000000,1.47052681
115.02000000,1.46936163
115.03000000,1.46819782
115.04000000,1.46703536
115.05000000,1.46587426
115.06000000,1.46471452
115.07000000,1.46355612
115.08000000,1.46239908
115.09000000,1.46124338
115.10000000,1.46008902
115.11000000,1.45893601
115.12000000,1.45778433
115.13000000,1.45663399
115.14000000,1.45548498
115.15000000,1.45433730
115.16000000,1.45319095
115.17000000,1.45204593
115.18000000,1.45090223
115.19000000,1.44975984
115.20000000,1.44861878
115.21000000,1.44747903
115.22000000,1.44634059
115.23000000,1.44520346
115.24000000,1.44406763
115.25000000,1.44293311
115.26000000,1.44179989
115.27000000,1.44066798
115.28000000,1.43953735
115.29000000,1.43840802
115.30000000,1.43727998
115.31000000,1.43615323
115.32000000,1.43502777
115.33000000,1.43390359
115.34000000,1.43278069
115.35000000,1.43165906
115.36000000,1.43053871
115.37000000,1.42941964
115.38000000,1.42830183
115.39000000,1.42718529
115.40000000,1.42607002
115.41000000,1.42495600
115.42000000,1.42384325
115.43000000,1.42273176
115.44000000,1.42162151
115.45000000,1.42051252
115.46000000,1.41940478
115.47000000,1.41829829
115.48000000,1.41719303
