mass,sigma
114.42000000,151.44396216
114.43000000,151.31737141
114.44000000,151.19094031
114.45000000,151.06466857
114.46000000,150.93855593
114.47000000,150.81260216
114.48000000,150.68680702
114.49000000,150.56117029
114.50000000,150.43569173
114.51000000,150.31037112
114.52000000,150.18520822
114.53000000,150.06020281
114.54000000,149.93535466
114.55000000,149.81066354
114.56000000,149.68612921
114.57000000,149.56175143
114.58000000,149.43752995
114.59000000,149.31346453
114.60000000,149.18955491
114.61000000,149.06580084
114.62000000,148.94220209
114.63000000,148.81875839
114.64000000,148.69546950
114.65000000,148.57233517
114.66000000,148.44935514
114.67000000,148.32652908
114.68000000,148.20385664
114.69000000,148.08133747
114.70000000,147.95897123
114.71000000,147.83675758
114.72000000,147.71469616
114.73000000,147.59278663
114.74000000,147.47102865
114.75000000,147.34942186
114.76000000,147.22796595
114.77000000,147.10666066
114.78000000,146.98550574
114.79000000,146.86450097
114.80000000,146.74364612
114.81000000,146.62294094
114.82000000,146.50238519
114.83000000,146.38197865
114.84000000,146.26172108
114.85000000,146.14161225
114.86000000,146.02165191
114.87000000,145.90183987
114.88000000,145.78217590
114.89000000,145.66265981
114.90000000,145.54329139
114.91000000,145.42407043
114.92000000,145.30499672
114.93000000,145.18607006
114.94000000,145.06729023
114.95000000,144.94865703
114.96000000,144.83017025
114.97000000,144.71182962
114.98000000,144.59363490
114.99000000,144.47558583
115.00000000,144.35768213
115.01000000,144.23992356
115.02000000,144.12230985
115.03000000,144.00484075
115.04000000,143.88751599
115.05000000,143.77033532
115.06000000,143.65329848
115.07000000,143.53640523
115.08000000,143.41965535
115.09000000,143.30304860
115.10000000,143.18658476
115.11000000,143.07026359
115.12000000,142.95408486
115.13000000,142.83804835
115.14000000,142.72215383
115.15000000,142.60640106
115.16000000,142.49078981
115.17000000,142.37531985
115.18000000,142.25999096
115.19000000,142.14480288
115.20000000,142.02975541
115.21000000,141.91484829
115.22000000,141.80008130
115.23000000,141.68545421
115.24000000,141.57096678
115.25000000,141.45661878
115.26000000,141.34240998
115.27000000,141.22834015
115.28000000,141.11440906
115.29000000,141.00061649
115.30000000,140.88696221
115.31000000,140.77344599
115.32000000,140.66006761
115.33000000,140.54682684
115.34000000,140.43372345
115.35000000,140.32075722
115.36000000,140.20792791
115.37000000,140.09523531
115.38000000,139.98267920
115.39000000,139.87025935
115.40000000,139.75797554
115.41000000,139.64582754
115.42000000,139.53381514
115.43000000,139.42193811
115.44000000,139.31019624
115.45000000,139.19858929
115.46000000,139.08711705
115.47000000,138.97577930
115.48000000,138.86457582
115.49000000,138.75350638
115.50000000,138.64257078
115.51000000,138.53176878
115.52000000,138.42110018
115.53000000,138.31056475
115.54000000,138.20016227
115.55000000,138.08989252
115.56000000,137.97975529
115.57000000,137.86975037
115.58000000,137.75987755
115.59000000,137.65013662
115.60000000,137.54052738
115.61000000,137.43104961
115.62000000,137.32170312
115.63000000,137.21248768
115.64000000,137.10340311
115.65000000,136.99444918
115.66000000,136.88562570
115.67000000,136.77693242
115.68000000,136.66836913
115.69000000,136.55993560
115.70000000,136.45163160
115.71000000,136.34345691
115.72000000,136.23541128
115.73000000,136.12749450
115.74000000,136.01970634
115.75000000,135.91204657
115.76000000,135.80451497
115.77000000,135.69711137
115.78000000,135.58983560
115.79000000,135.48268749
115.80000000,135.37566688
115.81000000,135.26877360
115.82000000,135.16200749
115.83000000,135.05536838
115.84000000,134.94885611
115.85000000,134.84247050
115.86000000,134.73621139
115.87000000,134.63007860
115.88000000,134.52407195
115.89000000,134.41819126
115.90000000,134.31243634
115.91000000,134.20680702
115.92000000,134.10130310
115.93000000,133.99592441
115.94000000,133.89067078
115.95000000,133.78554200
115.96000000,133.68053789
115.97000000,133.57565818
115.98000000,133.47090259
115.99000000,133.36627083
116.00000000,133.26176262
116.01000000,133.15737767
116.02000000,133.05311571
116.03000000,132.94897644
116.04000000,132.84495959
116.05000000,132.74106487
116.06000000,132.63729202
116.07000000,132.53364083
116.08000000,132.43011113
116.09000000,132.32670273
116.10000000,132.22341547
116.11000000,132.12024914
116.12000000,132.01720358
116.13000000,131.91427860
116.14000000,131.81147402
116.15000000,131.70878966
116.16000000,131.60622535
116.17000000,131.50378093
116.18000000,131.40145627
116.19000000,131.29925120
116.20000000,131.19716560
116.21000000,131.09519931
116.22000000,130.99335218
116.23000000,130.89162408
116.24000000,130.79001486
116.25000000,130.68852436
116.26000000,130.58715245
116.27000000,130.48589893
116.28000000,130.38476359
116.29000000,130.28374626
116.30000000,130.18284672
116.31000000,130.08206479
116.32000000,129.98140026
116.33000000,129.88085294
116.34000000,129.78042263
116.35000000,129.68010914
116.36000000,129.57991227
116.37000000,129.47983183
116.38000000,129.37986764
116.39000000,129.28001951
116.40000000,129.18028725
116.41000000,129.08067069
116.42000000,128.98116963
116.43000000,128.88178389
116.44000000,128.78251329
116.45000000,128.68335763
116.46000000,128.58431674
116.47000000,128.48539043
116.48000000,128.38657855
116.49000000,128.28788091
116.50000000,128.18929735
116.51000000,128.09082769
116.52000000,127.99247176
116.53000000,127.89422939
116.54000000,127.79610041
116.55000000,127.69808464
116.56000000,127.60018192
116.57000000,127.50239206
116.58000000,127.40471488
116.59000000,127.30715020
116.60000000,127.20969785
116.61000000,127.11235764
116.62000000,127.01512939
